Date,Price,Open,High,Low,Vol.,Change %
"Mar 31, 2019",4102.3,4111.8,4121.9,4082.2,2.43M,-0.23%
"Apr 01, 2019",4145.1,4102.3,4159.1,4076.8,3.22M,1.04%
"Apr 02, 2019",4859.3,4145.1,4899.6,4143.5,14.77M,17.23%
"Apr 03, 2019",4968.7,4859.3,5278.4,4814,13.83M,2.25%
"Apr 04, 2019",4902.4,4968.7,5042.5,4789.2,1.05M,-1.33%
"Apr 05, 2019",5010.2,4902.5,5029.4,4888.3,851.72K,2.20%
"Apr 06, 2019",5046.2,5010,5198.4,4947.9,952.18K,0.72%
"Apr 07, 2019",5173.6,5046.1,5219.5,5033.7,841.27K,2.53%
"Apr 08, 2019",5245.2,5173.5,5300.6,5060.5,928.23K,1.38%
"Apr 09, 2019",5158.4,5245,5245.9,5095.2,784.62K,-1.65%
"Apr 10, 2019",5307.8,5158.4,5404.1,5142.9,837.51K,2.89%
"Apr 11, 2019",5022.6,5307.7,5337,4948,943.49K,-5.37%
"Apr 12, 2019",5054.2,5022.7,5080.5,4889.2,779.14K,0.63%
"Apr 13, 2019",5051.8,5054.2,5093.4,5011.6,577.16K,-0.05%
"Apr 14, 2019",5134.8,5052,5153.5,5010.7,566.38K,1.64%
"Apr 15, 2019",5032.3,5135.1,5168,4964.2,688.20K,-2.00%
"Apr 16, 2019",5180.9,5031.4,5198.4,5014.4,631.05K,2.95%
"Apr 17, 2019",5208.3,5182.1,5230.9,5165.5,806.52K,0.53%
"Apr 18, 2019",5264.7,5208.3,5293.1,5205,727.97K,1.08%
"Apr 19, 2019",5241,5264.8,5282.4,5192.1,787.09K,-0.45%
"Apr 20, 2019",5290.2,5241,5327,5240.2,782.32K,0.94%
"Apr 21, 2019",5243.5,5290.2,5308.2,5189.8,811.41K,-0.88%
"Apr 22, 2019",5346.7,5248.2,5370.2,5170.2,920.77K,1.97%
"Apr 23, 2019",5511.6,5346.5,5594.4,5291.4,900.00K,3.08%
"Apr 24, 2019",5415.6,5511.2,5589.6,5346.8,994.04K,-1.74%
"Apr 25, 2019",5209.1,5415.6,5528.2,5137.4,955.36K,-3.81%
"Apr 26, 2019",5298.3,5209.2,5469.3,5159.3,1.03M,1.71%
"Apr 27, 2019",5265.9,5298.2,5318.1,5225.4,833.13K,-0.61%
"Apr 28, 2019",5302.3,5265.7,5332.5,5234.4,681.41K,0.69%
"Apr 29, 2019",5235,5302.4,5322.9,5188.9,775.82K,-1.27%
"Apr 30, 2019",5320.8,5235.4,5336.6,5195.9,697.42K,1.64%
"May 01, 2019",5384.2,5321.1,5396.3,5319.5,623.64K,1.19%
"May 02, 2019",5493.8,5384.6,5530.8,5370,722.23K,2.04%
"May 03, 2019",5766.8,5493.6,5844.2,5478.7,1.04M,4.97%
"May 04, 2019",5830.9,5768,5899.2,5605,920.61K,1.11%
"May 05, 2019",5774.9,5830.8,5838.2,5708.2,709.02K,-0.96%
"May 06, 2019",5745.1,5775.1,5801.4,5630.5,755.39K,-0.52%
"May 07, 2019",5849.5,5745.5,6019.8,5745.5,955.88K,1.82%
